Graph Name,Density,Node Count,Edge Count,DFS Time (ms),BFS Time (ms),Start Node
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_129.txt,0.006091926913525438,1471,13173,6.378,6.519,743
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_437.txt,0.007012380931568583,1284,11552,5.578,6.095,997
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_141.txt,0.006548070932030205,1372,12317,6.059,4.906,298
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_493.txt,0.006972092115534738,1281,11432,5.367,4.309,409
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_130.txt,0.007281409126032771,1231,11025,4.32,4.758,61
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_219.txt,0.0075926165523784875,1180,10563,4.132,4.13,141
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_422.txt,0.007807166912627238,1150,10316,4.67,4.683,64
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_140.txt,0.008159564823209429,1103,9918,4.371,4.371,37
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_492.txt,0.00601814741798277,1489,13334,5.398,5.839,731
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_131.txt,0.0063620971094280705,1405,12550,5.226,5.218,878
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_218.txt,0.0066908495228442414,1342,12041,3.843,4.481,422
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_423.txt,0.008394421771339046,1067,9548,4.163,4.32,109
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_143.txt,0.007219590555205681,1239,11074,4.235,4.96,60
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_491.txt,0.006945879418663244,1287,11496,4.85,5.339,783
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_132.txt,0.006120554890631641,1467,13163,5.645,6.067,889
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_420.txt,0.006563329143974305,1365,12220,4.979,4.651,32
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_142.txt,0.006905232294984395,1298,11625,5.006,5.144,1110
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_490.txt,0.008740683599732277,1029,9246,3.974,4.032,254
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_133.txt,0.007311734613965367,1228,11017,4.759,4.758,168
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_421.txt,0.008291509507892862,1084,9734,3.638,4.58,154
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_145.txt,0.008270273946979101,1085,9727,4.147,4.166,512
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_497.txt,0.006699017820753407,1337,11966,5.116,5.47,835
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_134.txt,0.006421165763134226,1393,12451,5.059,5.407,25
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_426.txt,0.006071487308809824,1480,13290,4.842,5.002,549
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_144.txt,0.00700146672000194,1285,11552,4.55,5.049,251
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_496.txt,0.007514411779622335,1192,10668,4.508,4.623,259
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_135.txt,0.008119463352559987,1107,9941,3.121,3.884,192
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_427.txt,0.00691925323066093,1293,11559,4.717,4.98,358
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_147.txt,0.0061512150588890115,1459,13085,4.99,6.047,1389
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_495.txt,0.007090756920420652,1263,11302,4.405,4.457,791
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_136.txt,0.0075755950414287,1183,10593,3.952,4.442,1152
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_424.txt,0.00809109687947212,1112,9996,4.073,4.501,170
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_146.txt,0.006142872083338002,1464,13157,5.196,5.152,1271
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_494.txt,0.00877272004155398,1022,9154,3.298,3.016,380
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_137.txt,0.008011819803746654,1121,10059,4.247,4.267,445
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_425.txt,0.007133344210418477,1258,11280,4.617,4.496,955
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_149.txt,0.008307450607490401,1078,9645,3.831,4.232,536
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_138.txt,0.007117011485557951,1260,11290,3.617,4.9,465
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_211.txt,0.007550228485359066,1188,10647,3.623,3.832,713
