"Graph Name","Density","Node Count","Edge Count","DFS Time (ms)","BFS Time (ms)","Start Node","BFS_Mean","DFS_Mean","Diff","Log_Diff","Log_Ratio","Ratio","Speedup"
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_390.txt",0.00775844606000585,1155,10341,1.154,1.325,190,1.3002,1.148,-0.1522,-0.124496800890857,-0.124496800890857,0.882941085986771,1.13257839721254
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_6.txt",0.00640361836511723,1402,12578,1.41,1.59,894,1.5646,1.3952,-0.1694,-0.114592426096265,-0.114592426096265,0.891729515531126,1.12141628440367
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_274.txt",0.00875930316580767,1022,9140,1.028,1.175,3,1.151,1.0178,-0.1332,-0.12298769456715,-0.12298769456715,0.884274543874891,1.13087050501081
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_472.txt",0.00704651091205713,1275,11446,1.318,1.457,49,1.4304,1.2814,-0.149,-0.110000895214329,-0.110000895214328,0.895833333333333,1.11627906976744
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_402.txt",0.00816491781656691,1095,9781,1.101,1.262,813,1.2424,1.0966,-0.1458,-0.124830508864529,-0.124830508864529,0.882646490663233,1.13295641072406
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_97.txt",0.00721985239527851,1244,11164,1.253,1.419,332,1.3974,1.243,-0.1544,-0.117085554607639,-0.117085554607639,0.889509088306856,1.12421560740145
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_481.txt",0.0069147362706162,1298,11641,1.304,1.471,921,1.456,1.2946,-0.1614,-0.117491182645221,-0.117491182645221,0.889148351648352,1.12467171327051
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_467.txt",0.00647892019733175,1386,12437,1.396,1.58,854,1.568,1.3844,-0.1836,-0.124534089149164,-0.124534089149164,0.882908163265306,1.13262062987576
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_173.txt",0.00809539401697729,1103,9840,1.104,1.257,1091,1.2386,1.1008,-0.1378,-0.117944521324881,-0.117944521324881,0.888745357661876,1.12518168604651
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_261.txt",0.00711965404435107,1253,11169,1.243,1.414,1116,1.4042,1.243,-0.1612,-0.121939933072437,-0.121939933072437,0.885201538242416,1.12968624296058
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_135.txt",0.00879933082586211,1018,9110,1.024,1.166,957,1.1448,1.0154,-0.1294,-0.119947325728947,-0.119947325728947,0.88696715583508,1.12743746306874
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_205.txt",0.00724758816407928,1238,11099,1.24,1.431,145,1.3962,1.2368,-0.1594,-0.121226861703143,-0.121226861703143,0.88583297521845,1.12888098318241
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_136.txt",0.00874725491647544,1027,9217,1.03,1.189,408,1.1674,1.0272,-0.1402,-0.127942399833994,-0.127942399833994,0.879904060304951,1.13648753894081
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_348.txt",0.0074543259156601,1203,10779,1.192,1.382,926,1.3628,1.1976,-0.1652,-0.129221852681393,-0.129221852681393,0.878778984443792,1.13794255177021
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_152.txt",0.00666761957947736,1344,12035,1.342,1.518,150,1.4992,1.3422,-0.157,-0.110621573760019,-0.110621573760019,0.895277481323372,1.11697213530025
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_304.txt",0.00609801968026451,1477,13294,1.471,1.658,221,1.6562,1.4656,-0.1906,-0.122261106679734,-0.122261106679734,0.884917280521676,1.13004912663755
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_436.txt",0.00886004933869725,1012,9065,1.013,1.161,669,1.1378,1.0078,-0.13,-0.121326836070049,-0.121326836070049,0.885744419054315,1.12899384798571
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_235.txt",0.00630229580442486,1420,12699,1.412,1.603,971,1.5878,1.4052,-0.1826,-0.122169768899341,-0.122169768899341,0.884998110593274,1.12994591517222
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_246.txt",0.00601737520434728,1498,13494,1.489,1.707,412,1.6752,1.4868,-0.1884,-0.119306401693175,-0.119306401693175,0.887535816618911,1.12671509281679
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_442.txt",0.00628634938930086,1429,12828,1.428,1.63,587,1.5966,1.4212,-0.1754,-0.116374783064827,-0.116374783064826,0.89014155079544,1.12341683084717
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_156.txt",0.00757928291388278,1186,10652,1.194,1.364,354,1.3374,1.182,-0.1554,-0.123519511653835,-0.123519511653835,0.883804396590399,1.13147208121827
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_450.txt",0.00684748569795718,1310,11742,1.309,1.499,220,1.471,1.3016,-0.1694,-0.12234816469661,-0.12234816469661,0.884840244731475,1.13014751075599
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_315.txt",0.00741208344991845,1211,10861,1.207,1.377,1205,1.3702,1.2056,-0.1646,-0.127979346256513,-0.127979346256513,0.879871551598307,1.1365295288653
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_333.txt",0.00718331075116503,1249,11197,1.244,1.416,1227,1.4358,1.242,-0.1938,-0.144999201648959,-0.144999201648959,0.865022983702466,1.156038647343
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_24.txt",0.0062710071110455,1426,12743,1.426,1.605,216,1.5864,1.4156,-0.1708,-0.113913828734278,-0.113913828734278,0.892334846192637,1.12065555241594
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_259.txt",0.00676841588879626,1323,11838,1.328,1.495,920,1.4816,1.3176,-0.164,-0.117310685028484,-0.117310685028484,0.889308855291577,1.12446873102611
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_360.txt",0.00868247071448404,1033,9256,1.041,1.177,793,1.1652,1.0332,-0.132,-0.120231963863594,-0.120231963863594,0.886714727085479,1.12775842044135
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_284.txt",0.00708199686849186,1257,11181,1.258,1.429,549,1.4054,1.252,-0.1534,-0.115579687098054,-0.115579687098053,0.890849580190693,1.12252396166134
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_474.txt",0.00679810978826876,1321,11854,1.322,1.521,53,1.483,1.3128,-0.1702,-0.121904802362051,-0.121904802362051,0.885232636547539,1.12964655697745
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_421.txt",0.00837291872417966,1073,9631,1.081,1.24,365,1.2152,1.072,-0.1432,-0.125382609650816,-0.125382609650816,0.882159315339039,1.13358208955224
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_376.txt",0.00818668133186681,1096,9825,1.095,1.259,640,1.2514,1.0936,-0.1578,-0.134787918154523,-0.134787918154523,0.873901230621704,1.14429407461595
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_285.txt",0.00855862260037767,1048,9391,1.064,1.204,799,1.1882,1.0562,-0.132,-0.117761995648808,-0.117761995648808,0.888907591314594,1.12497633024048
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_10.txt",0.00646063312535214,1385,12384,1.374,1.57,279,1.5432,1.3724,-0.1708,-0.117297150607225,-0.117297150607225,0.889320891653707,1.1244535120956
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_171.txt",0.00782004306274317,1151,10351,1.158,1.298,559,1.2868,1.1514,-0.1354,-0.111179923123162,-0.111179923123162,0.894777743239043,1.11759597012333
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_270.txt",0.00825772318683078,1090,9802,1.092,1.25,437,1.2296,1.0902,-0.1394,-0.120327747594206,-0.120327747594206,0.886629798308393,1.12786644652357
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_289.txt",0.00865970450029663,1031,9196,1.037,1.171,123,1.16,1.0354,-0.1246,-0.113632179632609,-0.113632179632609,0.892586206896552,1.12033996523083
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_71.txt",0.00819727171697841,1092,9766,1.088,1.257,685,1.2286,1.0876,-0.141,-0.121901875971511,-0.121901875971511,0.885235227087742,1.12964325119529
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_161.txt",0.00793417298271667,1134,10194,1.133,1.317,326,1.2848,1.132,-0.1528,-0.126617084429369,-0.126617084429369,0.88107098381071,1.13498233215548
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_380.txt",0.00869600703045073,1027,9163,1.029,1.179,365,1.1602,1.0306,-0.1296,-0.11845124713784,-0.11845124713784,0.888295121530771,1.12575198913254
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_250.txt",0.00703857994526974,1280,11523,1.286,1.469,1236,1.4442,1.2756,-0.1686,-0.124138878881179,-0.124138878881179,0.883257166597424,1.13217309501411
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_222.txt",0.00642754225632247,1399,12571,1.38,1.578,1286,1.5676,1.3854,-0.1822,-0.123556880736972,-0.123556880736972,0.883771370247512,1.13151436408258
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_68.txt",0.00712024427252121,1266,11403,1.263,1.44,244,1.425,1.2598,-0.1652,-0.123218835514922,-0.123218835514922,0.884070175438596,1.13113192570249
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_125.txt",0.00749854010723576,1197,10735,1.197,1.361,895,1.3426,1.1976,-0.145,-0.114288478399233,-0.114288478399233,0.892000595858781,1.12107548430194
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_331.txt",0.00651019530061182,1381,12407,1.386,1.556,1166,1.5432,1.372,-0.1712,-0.117588653305689,-0.117588653305689,0.889061689994816,1.12478134110787
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_374.txt",0.00645203060014192,1390,12457,1.377,1.573,379,1.546,1.3788,-0.1672,-0.114457394504657,-0.114457394504657,0.891849935316947,1.12126486800116
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_44.txt",0.00887669779038507,1013,9100,1.005,1.169,404,1.1534,1.012,-0.1414,-0.130785531333901,-0.130785531333901,0.877405930293047,1.1397233201581
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_469.txt",0.00696465370378414,1288,11545,1.268,1.457,473,1.437,1.2802,-0.1568,-0.115541291371122,-0.115541291371122,0.890883785664579,1.12248086236526
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_66.txt",0.00822978110287353,1088,9733,1.097,1.248,277,1.2248,1.0882,-0.1366,-0.118252610291649,-0.118252610291649,0.88847158719791,1.12552839551553
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_113.txt",0.00624802523052708,1437,12893,1.433,1.621,569,1.6022,1.4252,-0.177,-0.117065530049335,-0.117065530049335,0.889526900511796,1.12419309570587
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_110.txt",0.00782457335301018,1150,10339,1.153,1.317,1102,1.2958,1.152,-0.1438,-0.11762870276002,-0.11762870276002,0.889026084272264,1.12482638888889
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_308.txt",0.00665243137100548,1353,12169,1.349,1.538,997,1.522,1.3406,-0.1814,-0.126907984497774,-0.126907984497774,0.880814717477004,1.13531254662092
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_407.txt",0.00847066637943415,1056,9437,1.057,1.197,277,1.19,1.0544,-0.1356,-0.120981422357332,-0.120981422357332,0.886050420168067,1.12860394537178
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_375.txt",0.00669520010806092,1339,11995,1.328,1.51,921,1.4986,1.3312,-0.1674,-0.118450547863266,-0.118450547863266,0.88829574269318,1.12575120192308
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_460.txt",0.00763066484027766,1177,10562,1.182,1.344,631,1.3236,1.177,-0.1466,-0.11738646878718,-0.11738646878718,0.889241462677546,1.12455395072218
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_36.txt",0.0059790639242361,1499,13426,1.503,1.721,77,1.6832,1.4942,-0.189,-0.11910579700169,-0.11910579700169,0.887713878326996,1.12648909115246
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_445.txt",0.00865266915220662,1035,9260,1.059,1.192,278,1.1752,1.0498,-0.1254,-0.112838676041468,-0.112838676041468,0.893294758339006,1.11945132406173
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_296.txt",0.00769346887611865,1163,10397,1.17,1.322,276,1.3102,1.1608,-0.1494,-0.121070374727798,-0.121070374727798,0.885971607388185,1.12870434183322
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_372.txt",0.0070055951915559,1280,11469,1.277,1.438,105,1.4198,1.2748,-0.145,-0.107726713062104,-0.107726713062104,0.897872939850683,1.11374333228742
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_90.txt",0.00836939253313266,1072,9609,1.083,1.228,441,1.2142,1.0694,-0.1448,-0.126987680181703,-0.126987680181703,0.88074452314281,1.1354030297363
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_329.txt",0.00882335828711066,1016,9099,1.027,1.165,928,1.1502,1.0218,-0.1284,-0.118370062382956,-0.118370062382956,0.888367240479916,1.12566059894304
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_239.txt",0.00790693185515192,1134,10159,1.133,1.312,900,1.288,1.1276,-0.1604,-0.132999147424342,-0.132999147424342,0.875465838509317,1.14224902447676
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_140.txt",0.0081734192123176,1097,9827,1.099,1.234,188,1.2262,1.0998,-0.1264,-0.108791611254873,-0.108791611254873,0.896917305496656,1.11492998727041
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_336.txt",0.00783960134353835,1144,10251,1.151,1.315,464,1.2944,1.1432,-0.1512,-0.12421591968857,-0.12421591968857,0.8831891223733,1.13226032190343
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_241.txt",0.00635094342248211,1419,12779,1.407,1.625,1004,1.6002,1.4092,-0.191,-0.127106453948941,-0.127106453948941,0.880639920009999,1.13553789384048
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_408.txt",0.00707053018802542,1274,11467,1.293,1.453,985,1.434,1.2768,-0.1572,-0.116110794464021,-0.116110794464021,0.890376569037657,1.12312030075188
